Course Name,Category
Digital Transformation in Banking,Banking Domain
Introduction to Cloud Computing on Azure,Cloud
Data Science Fundamentals with Python,AI & Data Science
Building REST APIs with Flask and Python,API & App dev
Cyber Threat Intelligence,Cybersecurity
Cloud Data Storage Solutions,Infrastructure
Continuous Integration and Deployment with Jenkins,Agile and DevOps
Banking and Finance Technologies,Banking Domain
Google Cloud Platform (GCP) for Beginners,Cloud
Building AI Solutions for Business,AI & Data Science
Developing APIs with Spring Boot,API & App dev
Cybersecurity in Cloud Environments,Cybersecurity
Cloud Network and Infrastructure Management,Infrastructure
DevOps Practices for Large Scale Software Projects,Agile and DevOps
Blockchain in Banking,Banking Domain
Cloud Security Architecture,Cloud
Machine Learning for Predictive Analytics,AI & Data Science
Python for API Development,API & App dev
Offensive Security and Penetration Testing,Cybersecurity
Cloud Computing for IT Professionals,Infrastructure
DevOps Implementation with Docker and Kubernetes,Agile and DevOps
Mobile Banking Technologies,Banking Domain
Google Cloud for Enterprise Applications,Cloud
Data Science with TensorFlow,AI & Data Science
Developing Scalable APIs with Express.js,API & App dev
Web Application Security,Cybersecurity
Managing IT Systems on Cloud,Infrastructure
Advanced DevOps Pipeline Strategies,Agile and DevOps
Financial Services and Technologies,Banking Domain
AWS Certified Solutions Architect - Professional,Cloud
AI and Data Science with Python,AI & Data Science
Building Real-Time APIs with Node.js,API & App dev
Information Security Best Practices,Cybersecurity
IT Infrastructure Management for Cloud Solutions,Infrastructure
DevOps and Continuous Integration with GitLab,Agile and DevOps
Banking Software Development and Automation,Banking Domain
Microsoft Azure Solutions Architect - Expert,Cloud
Introduction to AI and Deep Learning,AI & Data Science
API Development with FastAPI,API & App dev
Secure Software Development,Cybersecurity
IT Infrastructure in the Cloud,Infrastructure
Agile and Lean Software Development,Agile and DevOps
Risk Assessment and Management in Banking,Banking Domain
Cloud Security Solutions for Enterprises,Cloud
Advanced Machine Learning Techniques,AI & Data Science
RESTful API Development with Django,API & App dev
Ethical Hacking with Python,Cybersecurity
Cloud-based Network Management,Infrastructure
DevOps in Cloud Environments,Agile and DevOps
Introduction to Banking and Finance,Banking Domain
AWS Certified DevOps Engineer - Professional,Cloud
Predictive Modeling with Machine Learning,AI & Data Science
API Development for Mobile Applications,API & App dev
Cybersecurity Architecture and Design,Cybersecurity
Cloud Computing and Networking,Infrastructure
Agile Project Management Certification,Agile and DevOps
Fintech: Revolutionizing Banking Systems,Banking Domain
AWS Certified Solutions Architect - Professional,Cloud
AI and Machine Learning with TensorFlow,AI & Data Science
Web API Development with Flask and Python,API & App dev
Cybersecurity Essentials,Cybersecurity
Cloud Infrastructure Fundamentals,Infrastructure
Introduction to Agile Scrum Methodology,Agile & DevOps
Advanced Banking Applications and Systems,Banking Domain
AWS Certified Developer - Associate,Cloud
Deep Learning with PyTorch,AI & Data Science
API Development with Django,API & App dev
Cloud Security for Beginners,Cybersecurity
Cloud Automation with Terraform,Infrastructure
DevOps with Jenkins,Agile & DevOps
Investment Banking and Capital Markets,Banking Domain
Google Cloud Platform Essentials,Cloud
Data Science for Beginners,AI & Data Science
Building APIs with Express.js,API & App dev
Network Security Fundamentals,Cybersecurity
Introduction to Data Center Management,Infrastructure
Continuous Integration with Jenkins,Agile & DevOps
Banking Products and Services Overview,Banking Domain
Cloud Native Development with Kubernetes,Cloud
Introduction to Neural Networks,AI & Data Science
Python API Development with Flask and Django,API & App dev
Cybersecurity Risk Assessment,Cybersecurity
Virtualization and Cloud Computing,Infrastructure
Agile Scrum Master Certification,Agile & DevOps
Banking Software Solutions,Banking Domain
AWS Certified Cloud Practitioner,Cloud
Machine Learning in Python with scikit-learn,AI & Data Science
Full Stack API Development with Node.js,API & App dev
Cybersecurity Threat Intelligence,Cybersecurity
Cloud Solutions Architect,Infrastructure
DevOps for Beginners,Agile & DevOps
Modern Banking Solutions,Banking Domain
Cloud Security Architectures,Cloud
AI with Python for Data Science,AI & Data Science
RESTful API Design with Django,API & App dev
Introduction to Information Security,Cybersecurity
Building IT Infrastructure for Cloud,Infrastructure
Agile Project Management with Jira,Agile & DevOps
Digital Banking Innovations,Banking Domain
Cloud Engineering with Microsoft Azure,Cloud
Introduction to AI and ML,AI & Data Science
Advanced API Development with Node.js,API & App dev
Cyber Defense and Response,Cybersecurity
Cloud Infrastructure Design and Management,Infrastructure
DevOps Automation with Ansible,Agile & DevOps
Payments Systems in Banking,Banking Domain
Google Cloud Platform: Associate Cloud Engineer,Cloud
Introduction to Deep Learning with Python,AI & Data Science
Advanced API Architecture with Flask,API & App dev
Cybersecurity Essentials for IT Professionals,Cybersecurity
Virtual Networking and Cloud Solutions,Infrastructure
DevOps Practices and Continuous Delivery,Agile & DevOps
Blockchain in Finance and Banking,Banking Domain
Microsoft Azure Fundamentals,Cloud
Data Science with TensorFlow and Keras,AI & Data Science
Building REST APIs with Flask,API & App dev
Cloud Security Architecting,Cybersecurity
IT Infrastructure Design for Cloud,Infrastructure
Introduction to CI/CD with Jenkins,Agile & DevOps
Introduction to Core Banking Systems,Banking Domain
AWS Developer - Associate,Cloud
Applied Machine Learning with Python,AI & Data Science
Node.js for API Development,API & App dev
Advanced Ethical Hacking,Cybersecurity
Cloud-Based IT Solutions,Infrastructure
Agile Methodologies in IT,Agile & DevOps
Digital Transformation in Banking,Banking Domain
Cloud Security Essentials,Cloud
Building AI with Python,AI & Data Science
API Development with Spring Boot,API & App dev
Cybersecurity Risk Management,Cybersecurity
Cloud Computing and Virtualization,Infrastructure
Advanced DevOps Tools,Agile & DevOps
Introduction to FinTech,Banking Domain
Microsoft Azure Solutions for Cloud Computing,Cloud
Building Machine Learning Models with TensorFlow,AI & Data Science
Developing Scalable APIs,API & App dev
Cybersecurity for Cloud Platforms,Cybersecurity
Cloud Data Center Management,Infrastructure
Introduction to Agile Software Development,Agile & DevOps
Blockchain and Digital Banking,Banking Domain
AWS Advanced Architecting,Cloud
Introduction to AI Programming,AI & Data Science
Building APIs with Node.js and Express,API & App dev
Cybersecurity Tools for Protection,Cybersecurity
Data Center Infrastructure and Management,Infrastructure
DevOps Pipeline Implementation,Agile & DevOps
Fintech Solutions and Blockchain,Banking Domain
Google Cloud Platform - Security,Cloud
Machine Learning for Business Intelligence,AI & Data Science
Full Stack API Development with Flask and React,API & App dev
IT Security and Compliance,Cybersecurity
Network and Cloud Infrastructure Management,Infrastructure
Continuous Delivery with DevOps,Agile & DevOps
Digital Banking and Payment Systems,Banking Domain
Cloud Services and Solutions,Cloud
AI and Deep Learning with TensorFlow,AI & Data Science
Introduction to API Integration,API & App dev
Cyber Threat Management,Cybersecurity
IT Infrastructure Planning and Deployment,Infrastructure
Agile Project Management and Scrum,Agile & DevOps
Core Banking System Technologies,Banking Domain
Azure Cloud Solutions for Enterprises,Cloud
Introduction to Machine Learning with Python,AI & Data Science
API Integration with Python and Flask,API & App dev
Cybersecurity Monitoring and Response,Cybersecurity
Managing IT Infrastructure for Cloud,Infrastructure
Agile and Lean for IT Projects,Agile & DevOps
Banking Domain Fundamentals,Banking Domain
AWS Certified Solutions Architect - Associate,Cloud
Introduction to Neural Networks and Deep Learning,AI & Data Science
Mobile App Development with Java,API & App dev
Cybersecurity Risk Assessment and Management,Cybersecurity
Cloud Infrastructure with AWS,Infrastructure
DevOps Automation in Cloud,Agile & DevOps
Financial Services and Banking Technologies,Banking Domain
AWS Cloud Practitioner Certification,Cloud
Data Science and Big Data with Python,AI & Data Science
API Design with Django and Flask,API & App dev
Network Security and Cryptography,Cybersecurity
Cloud Infrastructure and Management,Infrastructure
DevOps Principles and Practices,Agile & DevOps
Banking IT Solutions,Banking Domain
Cloud Computing for IT Administrators,Cloud
Machine Learning Applications for Business,AI & Data Science
Building Scalable APIs with Node.js,API & App dev
Cybersecurity and Cloud Security,Cybersecurity
Data Infrastructure and Cloud Computing,Infrastructure
CI/CD Pipeline with GitHub Actions,Agile & DevOps
Introduction to Banking and Financial Services,Banking Domain
Google Cloud Certified - Professional Cloud Architect,Cloud
Artificial Intelligence for Business Analytics,AI & Data Science
API Development and Integration with Python,API & App dev
Web Application Security and Penetration Testing,Cybersecurity
Cloud Infrastructure Automation with Ansible,Infrastructure
Agile Scrum Training,Agile & DevOps
Understanding Fintech and Banking Systems,Banking Domain
Cloud Architect - AWS,Cloud
Data Science and AI with Python,AI & Data Science
API Design with Node.js and Express,API & App dev
Advanced Security Operations,Cybersecurity
Cloud Infrastructure with Docker,Infrastructure
Introduction to DevOps and Cloud Operations,Agile & DevOps
Digital Payment Systems in Banking,Banking Domain
Google Cloud Essentials for Developers,Cloud
Advanced Machine Learning Techniques,AI & Data Science
Full Stack Web App Development with React and Node.js,API & App dev
Ethical Hacking with Kali Linux,Cybersecurity
Network Architecture and Cloud Solutions,Infrastructure
Continuous Deployment with Kubernetes,Agile & DevOps
Banking Systems and Digital Transformation,Banking Domain

